formatted_tradename,year,number_of_locations,number_of_locations_downtown,numer_of_locations_not_downtown
blenz,13,27,15,12
blenz,14,24,12,12
blenz,15,24,12,12
blenz,16,22,8,14
blenz,17,23,9,14
blenz,18,23,9,14
blenz,19,22,10,12
blenz,20,19,6,13
blenz,21,15,7,8
blenz,22,12,4,8
blenz,23,12,2,10
jj_bean,13,9,3,6
jj_bean,14,9,3,6
jj_bean,15,10,3,7
jj_bean,16,11,4,7
jj_bean,17,11,4,7
jj_bean,18,11,4,7
jj_bean,19,11,4,7
jj_bean,20,11,4,7
jj_bean,21,11,4,7
jj_bean,22,11,4,7
jj_bean,23,11,4,7
mcdonalds,13,19,4,15
mcdonalds,14,17,4,13
mcdonalds,15,18,4,14
mcdonalds,16,17,4,13
mcdonalds,17,17,4,13
mcdonalds,18,16,4,12
mcdonalds,19,16,4,12
mcdonalds,20,15,4,11
mcdonalds,21,15,4,11
mcdonalds,22,15,4,11
mcdonalds,23,15,4,11
starbucks,13,79,27,52
starbucks,14,80,28,52
starbucks,15,82,30,52
starbucks,16,82,30,52
starbucks,17,82,30,52
starbucks,18,79,28,51
starbucks,19,75,27,48
starbucks,20,78,28,50
starbucks,21,62,22,40
starbucks,22,43,15,28
starbucks,23,42,15,27
tim_hortons,13,27,13,14
tim_hortons,14,31,14,17
tim_hortons,15,34,15,19
tim_hortons,16,35,16,19
tim_hortons,17,41,17,24
tim_hortons,18,42,17,25
tim_hortons,19,42,16,26
tim_hortons,20,36,16,20
tim_hortons,21,41,17,24
tim_hortons,22,35,17,18
tim_hortons,23,36,17,19
