year,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d,formatted_tradename
23,4156080,23-128224,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T22:29:18+00:00,2023-12-31,Ltd Service Food Establishment,NA,NA,NA,3492,Cambie St,Vancouver,BC,CA,V5Z  2W8,Riley Park,0,616,2023-08-20T07:09:40+00:00,"{""coordinates"": [-123.114775613181, 49.2540762145612], ""type"": ""Point""}","49.2540762145612, -123.114775613181",starbucks
23,4156081,23-128225,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T22:30:12+00:00,2023-12-31,Ltd Service Food Establishment,NA,NA,NA,4467,Dunbar St,Vancouver,BC,CA,V6S 2G4,Dunbar-Southlands,0,616,2023-08-20T07:09:40+00:00,"{""coordinates"": [-123.18546909103, 49.2464347496115], ""type"": ""Point""}","49.2464347496115, -123.18546909103",starbucks
23,4156085,23-128229,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T22:47:55+00:00,2023-12-31,Ltd Service Food Establishment,NA,NA,NA,891,Dunsmuir St,Vancouver,BC,CA,V6C 3K4,Downtown,0,616,2023-08-20T07:09:40+00:00,"{""coordinates"": [-123.117864048567, 49.2848648439924], ""type"": ""Point""}","49.2848648439924, -123.117864048567",starbucks
23,4156087,23-128231,00,Starbucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T22:49:25+00:00,2023-12-31,Ltd Service Food Establishment,NA,NA,NA,960,Seymour St,Vancouver,BC,CA,V6B 3L9,Downtown,0,616,2023-08-20T07:09:40+00:00,"{""coordinates"": [-123.121084750257, 49.278854857902], ""type"": ""Point""}","49.278854857902, -123.121084750257",starbucks
23,4156294,23-128438,00,Kailau Enterprises Ltd,Tim Horton's,Issued,2022-12-13T19:20:10+00:00,2023-12-31,Ltd Service Food Establishment,NA,10,Unit,678,DUNSMUIR ST,Vancouver,BC,CA,V6B 1N3,Downtown,15,616,2023-08-20T07:09:40+00:00,"{""coordinates"": [-123.116554378883, 49.2831203169849], ""type"": ""Point""}","49.2831203169849, -123.116554378883",tim_hortons
23,4156351,23-128495,00,KMF Holdings Ltd,Tim Hortons Restaurant,Issued,2022-12-13T19:35:12+00:00,2023-12-31,Ltd Service Food Establishment,NA,02,Unit,1055,W GEORGIA ST,Vancouver,BC,CA,V6E 3P3,Downtown,18,616,2023-08-20T07:09:40+00:00,"{""coordinates"": [-123.121463646921, 49.2852447964792], ""type"": ""Point""}","49.2852447964792, -123.121463646921",tim_hortons
23,4176925,23-149064,00,1008904 BC Ltd,Tim Hortons,Issued,2022-11-23T01:17:54+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,2801,E HASTINGS ST,Vancouver,BC,CA,V5K 2A1,NA,12,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.046084334145, 49.2814073141589], ""type"": ""Point""}","49.2814073141589, -123.046084334145",tim_hortons
23,4177092,23-149231,00,Stabucks Coffee Canada Inc,Starbucks Coffee,Issued,2023-01-13T18:47:35+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,100,Unit,700,W PENDER ST,Vancouver,BC,CA,NA,Downtown,20,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.115619724804, 49.2848045499607], ""type"": ""Point""}","49.2848045499607, -123.115619724804",starbucks
23,4177241,23-149380,00,1308413  BC Ltd,Blenz,Issued,2022-11-23T02:16:22+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,2506,GRANVILLE ST,Vancouver,BC,CA,V6H 3G8,Fairview,3,891,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.138159622093, 49.26334279204], ""type"": ""Point""}","49.26334279204, -123.138159622093",blenz
23,4177380,23-149519,00,1354186 BC Ltd,Blenz Coffee Robson West,Issued,2022-11-09T00:39:24+00:00,2023-12-31,Restaurant Class 1,No Liquor Service,NA,NA,1615,ROBSON ST,Vancouver,BC,CA,V6G 1C8,West End,9,1032,2023-08-20T07:09:42+00:00,"{""coordinates"": [-123.132894929214, 49.2902203604981], ""type"": ""Point""}","49.2902203604981, -123.132894929214",blenz
