formatted_tradename,year,location_count,employee_count,average_number_employees_per_location
blenz,13,27,192,7.11
blenz,14,24,198,8.25
blenz,15,24,199,8.29
blenz,16,22,172,7.82
blenz,17,23,182,7.91
blenz,18,23,188,8.17
blenz,19,22,178,8.09
blenz,20,19,141,7.42
blenz,21,15,112,7.47
blenz,22,12,81,6.75
blenz,23,12,69,5.75
jj_bean,13,9,141,15.67
jj_bean,14,9,141,15.67
jj_bean,15,10,153,15.3
jj_bean,16,11,153,13.91
jj_bean,17,11,153,13.91
jj_bean,18,11,153,13.91
jj_bean,19,11,161,14.64
jj_bean,20,11,161,14.64
jj_bean,21,11,161,14.64
jj_bean,22,11,161,14.64
jj_bean,23,11,161,14.64
mcdonalds,13,19,791,41.63
mcdonalds,14,17,914,53.76
mcdonalds,15,18,1031,57.28
mcdonalds,16,17,982,57.76
mcdonalds,17,17,1057,62.18
mcdonalds,18,16,1057,66.06
mcdonalds,19,16,1057,66.06
mcdonalds,20,15,1027,68.47
mcdonalds,21,15,1027,68.47
mcdonalds,22,15,1017,67.8
mcdonalds,23,15,1018,67.87
starbucks,13,79,72,0.91
starbucks,14,80,87,1.09
starbucks,15,82,117,1.43
starbucks,16,82,146,1.78
starbucks,17,82,161,1.96
starbucks,18,79,146,1.85
starbucks,19,75,199,2.65
starbucks,20,78,273,3.5
starbucks,21,62,243,3.92
starbucks,22,43,220,5.12
starbucks,23,42,185,4.4
tim_hortons,13,27,542,20.07
tim_hortons,14,31,709,22.87
tim_hortons,15,34,807,23.74
tim_hortons,16,35,811,23.17
tim_hortons,17,41,920,22.44
tim_hortons,18,42,928,22.1
tim_hortons,19,42,846,20.14
tim_hortons,20,36,737,20.47
tim_hortons,21,41,797,19.44
tim_hortons,22,35,691,19.74
tim_hortons,23,36,706,19.61
